date,tmax,tmin,prec,rs,rh,u2_obs,eto
2009-07-28,30.69,19.42,0.0,22.24,81.05,1.57,4.280034232173585
2009-07-29,30.31,20.99,0.0,20.7,82.86,1.58,4.059562886844139
2009-07-30,30.21,20.43,0.0,22.57,81.1,1.87,4.344517745880351
2009-07-31,30.1,19.71,0.0,22.3,82.59,2.07,4.2166798800282335
2009-08-01,29.62,19.83,0.0,23.07,81.87,2.01,4.316530827418355
2009-08-02,30.16,18.97,0.0,22.56,80.87,1.78,4.280698589005897
2009-08-03,30.39,20.3,0.0,21.98,80.88,2.0,4.290694190608914
2009-08-04,29.84,19.46,0.0,23.81,81.85,2.25,4.426650628655417
2009-08-05,29.73,20.52,0.0,20.98,80.94,2.03,4.118098570534272
2009-08-06,30.2,19.75,0.0,21.54,80.19,1.92,4.220048780909072
2009-08-07,30.7,21.24,0.0,21.72,78.42,1.96,4.420531239349467
2009-08-08,30.68,20.86,0.0,21.47,82.25,2.09,4.2419224217513625
2009-08-09,30.19,20.72,0.0,23.35,80.5,1.95,4.521972318716733
2009-08-10,31.36,19.52,0.0,23.9,73.68,1.73,4.85002973457554
2009-08-11,31.51,19.53,0.0,23.18,77.3,1.6,4.654439622315135
2009-08-12,31.13,20.91,0.0,20.1,78.73,1.99,4.2136390755044655
2009-08-13,30.65,21.65,0.0,23.7,74.15,2.32,4.873554920567048
2009-08-14,30.91,19.53,0.0,24.2,76.51,1.91,4.779908425174441
2009-08-15,30.89,19.82,0.0,24.2,77.94,1.96,4.753348627892554
2009-08-16,31.3,19.87,0.04,24.67,76.85,2.27,4.895909606648925
2009-08-17,31.3,19.65,0.0,22.59,73.67,2.29,4.70065778585723
2009-08-18,31.53,20.1,0.0,23.84,76.71,1.86,4.824279904726627
2009-08-19,31.63,20.68,0.0,21.04,79.3,1.78,4.37892947395765
2009-08-20,31.86,20.76,0.15,23.31,77.81,1.53,4.7844154014807
2009-08-21,32.29,21.81,0.08,23.36,77.93,1.68,4.885195056497124
2009-08-22,31.33,22.26,17.26,16.95,82.66,1.72,3.711229484359615
2009-08-23,30.41,22.32,4.27,15.95,84.09,2.06,3.459023845338322
2009-08-24,30.75,21.35,0.01,18.55,81.67,2.09,3.9155464788106484
2009-08-25,31.87,20.61,0.0,22.85,76.38,1.81,4.774969204574438
2009-08-26,31.73,20.74,0.0,17.23,77.32,1.72,3.926049376716756
2009-08-27,31.14,21.96,0.0,18.86,76.9,2.34,4.193186571047156
2009-08-28,31.9,21.87,0.0,19.98,75.85,1.89,4.447800084561489
2009-08-29,31.57,23.1,0.24,15.42,78.88,1.86,3.686149289121909
2009-08-30,31.4,22.72,0.3,19.21,78.11,2.2,4.262856649590806
2009-08-31,31.25,20.76,0.0,23.85,75.86,2.32,4.911440028918174
2009-09-01,32.13,19.76,0.0,24.63,71.67,1.9,5.184338102150356
2009-09-02,32.95,21.0,0.0,24.75,71.1,1.87,5.36602143704474
2009-09-03,32.66,20.58,0.0,21.31,73.39,2.09,4.745349009952852
2009-09-04,33.23,20.54,0.0,25.62,70.68,1.8,5.514986015609735
2009-09-05,33.02,20.94,0.01,24.87,73.9,1.87,5.30841570663336
2009-09-06,32.44,21.36,0.0,14.59,77.42,2.03,3.621421655911682
2009-09-07,32.43,21.72,0.0,18.64,76.48,2.31,4.2827783429649235
2009-09-08,32.81,21.48,0.0,24.49,72.29,2.21,5.322825222167749
2009-09-09,32.79,20.77,0.0,21.41,70.45,1.86,4.898076614918302
2009-09-10,32.96,22.07,0.0,17.46,72.53,1.89,4.310821904390133
2009-09-11,32.97,21.87,0.0,21.71,66.55,2.45,5.147305262013568
2009-09-12,34.07,20.86,0.0,24.4,64.04,1.91,5.673635428790253
2009-09-13,33.86,21.96,0.0,22.4,67.45,1.96,5.305632719481073
2009-09-14,34.38,22.5,0.0,21.73,67.95,1.71,5.262041750837086
2009-09-15,33.86,22.97,0.0,17.56,69.28,1.92,4.5587661679178435
2009-09-16,33.22,23.24,0.0,16.98,69.71,2.01,4.421626980960235
2009-09-17,32.76,23.1,1.71,16.68,72.64,1.79,4.228610323358418
2009-09-18,33.17,23.87,0.21,17.19,71.25,1.44,4.4201642094363836
2009-09-19,33.67,23.42,0.0,17.4,70.88,1.92,4.484387348346161
2009-09-20,33.97,23.09,0.0,17.96,69.71,2.34,4.625426069622751
2009-09-21,34.16,22.67,0.0,22.57,68.27,2.55,5.383705349968094
2009-09-22,33.97,21.94,0.0,22.53,67.77,1.95,5.3439954897796085
2009-09-23,33.89,22.54,0.0,16.62,68.65,1.61,4.438696487201123
2009-09-24,35.03,23.25,0.0,21.45,67.1,1.31,5.3613908791868115
2009-09-25,35.35,24.32,0.2,24.04,61.8,1.37,6.025437141409477
2009-09-26,34.7,22.38,0.08,16.07,66.38,2.24,4.500232739292206
2009-09-27,34.86,23.3,0.0,22.56,63.89,2.42,5.635901463708182
2009-09-28,34.83,22.84,0.0,24.9,61.29,2.34,6.049780554305543
2009-09-29,35.9,22.21,0.0,24.76,57.91,1.94,6.215460045743293
2009-09-30,35.21,23.73,1.8,20.45,59.96,1.4,5.5070480050171104
2009-10-01,34.32,24.3,0.26,21.5,67.04,1.91,5.371803683982794
2009-10-02,36.05,23.29,0.0,24.59,58.2,2.2,6.253697701786566
2009-10-03,35.95,23.12,0.0,23.57,59.1,1.95,6.053846739642303
2009-10-04,36.14,24.15,0.0,21.39,57.11,1.77,5.85634591319786
2009-10-05,35.87,24.73,0.0,15.21,61.77,2.31,4.724721030345547
2009-10-06,35.26,24.41,0.24,20.42,63.8,2.18,5.406916205086312
2009-10-07,35.96,23.86,0.49,21.55,63.43,1.66,5.634709993327183
2009-10-08,35.75,24.3,0.2,18.01,65.47,1.9,4.999035091282843
2009-10-09,31.68,24.7,12.6,21.42,75.37,1.58,4.890708958500708
2009-10-10,33.3,23.39,1.05,19.91,73.89,1.21,4.760982457465151
2009-10-11,33.33,23.72,4.63,19.45,68.97,1.93,4.8875784941147655
2009-10-12,31.98,23.33,1.25,11.45,75.17,2.11,3.3081955080261323
2009-10-13,33.76,22.72,0.04,18.21,70.68,1.7,4.621514644067439
2009-10-14,34.1,23.14,0.34,21.32,70.12,1.47,5.1725043782752715
