date,tmax,tmin,prec,rs,rh,u2_obs,eto
2022-04-01,29.14,23.04,2.3,20.85,87.72,0.68,4.079810652720081
2022-04-02,27.09,22.27,1.81,23.47,92.24,0.78,4.140932924078273
2022-04-03,29.26,21.69,7.44,18.6,89.83,1.05,3.6007269829257558
2022-04-04,29.02,21.68,13.45,18.29,89.38,0.92,3.5543137893078396
2022-04-05,29.02,21.93,2.1,17.05,88.9,0.85,3.394767020128909
2022-04-06,29.87,21.71,1.01,17.96,87.28,0.83,3.627297820086622
2022-04-07,29.77,22.41,4.73,20.87,87.92,1.09,4.071400836483016
2022-04-08,27.83,21.77,5.27,18.79,90.95,1.07,3.501424710889509
2022-04-09,29.22,21.83,9.86,19.28,89.63,0.75,3.7022268356466825
2022-04-10,28.07,22.46,6.53,19.91,88.72,0.66,3.787035975129631
2022-04-11,29.28,21.57,2.96,18.51,88.64,0.65,3.609376543133127
2022-04-12,28.58,22.02,9.21,19.34,89.25,0.94,3.6884445720102352
2022-04-13,28.72,22.68,5.73,19.27,89.83,0.81,3.6952862201978487
2022-04-14,28.79,22.17,0.2,20.3,89.24,0.84,3.8469055811506783
2022-04-15,29.49,22.48,0.75,22.02,88.36,0.87,4.195588735792697
2022-04-16,28.34,22.55,3.32,22.14,88.4,0.7,4.133735615313072
2022-04-17,28.7,22.25,10.11,16.64,90.34,0.69,3.2526845304381116
2022-04-18,29.01,22.07,10.97,18.77,88.5,0.5,3.64345245667983
2022-04-19,28.42,22.59,4.2,17.1,89.82,0.69,3.3357653727590457
2022-04-20,29.73,21.57,0.68,16.39,87.54,0.81,3.338886699577627
2022-04-21,30.22,22.44,0.05,19.12,85.35,0.84,3.8914919064001543
2022-04-22,29.08,23.53,13.95,16.9,88.36,0.89,3.4274834036984005
2022-04-23,26.9,22.07,3.94,9.11,91.89,0.85,2.004893778140649
2022-04-24,28.77,21.3,0.04,18.45,87.72,0.93,3.559163533333509
2022-04-25,29.89,21.74,0.01,22.06,87.6,1.02,4.1852826674582335
2022-04-26,29.13,22.07,0.04,19.22,87.61,0.96,3.7273842978702336
2022-04-27,28.55,21.98,0.4,20.93,88.75,0.83,3.8946185081888376
2022-04-28,28.04,21.88,0.37,20.62,89.54,0.9,3.782012011927251
2022-04-29,29.61,22.1,0.75,18.56,86.83,0.78,3.6800291388925883
2022-04-30,27.74,22.48,1.36,17.39,89.45,0.89,3.3242553430268873
2022-05-01,29.51,21.64,0.52,21.09,87.23,0.79,4.0034875847263995
2022-05-02,28.06,22.94,0.92,19.51,90.1,0.66,3.645134633625967
2022-05-03,29.35,22.42,5.94,17.57,90.82,0.78,3.3790074400942385
2022-05-04,29.24,22.71,6.06,17.63,88.8,0.73,3.4648272350186544
2022-05-05,29.51,22.25,2.74,22.36,88.68,0.89,4.163432474389501
2022-05-06,29.36,22.38,0.74,20.28,88.61,0.98,3.851015899309431
2022-05-07,28.67,22.14,1.18,18.88,88.64,0.89,3.586703151568907
2022-05-08,28.16,22.33,3.72,17.0,90.27,0.88,3.2341592670156567
2022-05-09,28.59,21.22,0.18,14.62,87.11,0.69,2.9846632608232233
2022-05-10,28.76,22.32,0.21,18.96,84.89,0.56,3.7328645563920566
2022-05-11,29.21,21.88,0.01,18.97,86.37,0.68,3.687700514661267
2022-05-12,28.83,21.85,0.79,16.19,87.99,0.82,3.2050125716009403
2022-05-13,29.22,22.4,1.29,18.48,89.15,0.93,3.539981715639023
2022-05-14,28.75,22.09,3.54,19.53,90.11,1.0,3.6141701390177787
2022-05-15,28.17,22.57,2.25,13.79,92.02,0.91,2.6978525679246497
2022-05-16,28.31,22.99,0.36,11.2,90.69,0.73,2.387901451964792
2022-05-17,28.25,22.73,0.02,19.15,90.2,0.79,3.549336904043735
2022-05-18,28.36,22.17,4.85,17.99,90.26,0.87,3.357040517704889
2022-05-19,23.69,18.77,2.64,18.93,85.05,0.91,3.2313682517035143
2022-05-20,22.04,19.19,0.05,17.59,88.3,0.83,2.901188014446627
2022-05-21,26.78,17.92,1.48,14.01,84.33,0.74,2.7804932743572532
2022-05-22,28.8,21.18,0.15,17.16,86.97,0.92,3.3266517864029326
2022-05-23,28.94,21.32,0.3,18.13,87.54,0.96,3.4548725983005015
2022-05-24,28.22,21.1,0.09,19.82,86.83,1.02,3.6562535056511822
