date,tmax,tmin,prec
2021-09-08,35.89,24.41,0.01
2021-09-09,37.62,24.54,0.0
2021-09-10,37.94,24.21,0.0
2021-09-11,37.48,24.02,0.89
2021-09-12,36.75,23.41,1.35
2021-09-13,36.22,24.31,0.02
2021-09-14,35.17,24.39,0.63
2021-09-15,35.39,23.07,4.93
2021-09-16,34.4,22.99,1.61
2021-09-17,35.82,23.67,0.4
2021-09-18,36.55,23.11,0.07
2021-09-19,37.7,23.48,0.0
2021-09-20,37.82,24.18,0.0
2021-09-21,37.41,24.76,0.53
2021-09-22,36.78,23.58,0.11
2021-09-23,34.68,24.96,1.6
2021-09-24,35.85,24.28,1.52
2021-09-25,35.35,23.22,2.35
2021-09-26,36.37,24.32,0.13
2021-09-27,36.18,24.68,0.62
2021-09-28,34.49,23.68,9.86
2021-09-29,30.89,23.16,2.69
2021-09-30,29.14,23.35,5.71
2021-10-01,31.4,22.27,21.05
2021-10-02,30.13,22.35,13.4
2021-10-03,32.04,21.17,0.35
2021-10-04,33.78,22.18,0.0
2021-10-05,34.84,22.51,0.0
2021-10-06,35.6,23.42,0.13
2021-10-07,36.31,23.65,0.11
2021-10-08,36.6,24.31,0.06
2021-10-09,36.19,24.05,0.1
2021-10-10,32.09,24.89,0.11
2021-10-11,36.84,23.83,0.04
2021-10-12,36.9,24.93,0.04
2021-10-13,36.93,25.05,0.09
2021-10-14,36.93,24.99,0.77
2021-10-15,37.81,24.09,0.89
2021-10-16,36.19,25.1,0.21
2021-10-17,37.11,24.46,2.66
2021-10-18,33.42,24.08,8.82
2021-10-19,35.19,22.6,0.77
2021-10-20,36.45,24.32,0.12
2021-10-21,34.62,24.69,18.82
2021-10-22,27.71,23.79,63.81
2021-10-23,30.72,22.94,35.32
2021-10-24,31.51,22.77,1.37
2021-10-25,31.6,23.61,0.1
2021-10-26,30.66,23.1,2.61
2021-10-27,32.35,22.07,1.18
2021-10-28,31.92,22.94,1.33
2021-10-29,30.73,22.25,0.43
2021-10-30,32.21,22.0,0.08
2021-10-31,32.65,23.05,0.52
2021-11-01,33.11,22.38,2.61
2021-11-02,27.59,23.19,3.06
2021-11-03,30.01,22.06,3.2
2021-11-04,32.75,22.21,1.14
2021-11-05,31.18,23.31,15.03
2021-11-06,27.1,22.66,40.81
2021-11-07,29.38,22.16,3.43
2021-11-08,28.78,22.55,0.42
2021-11-09,30.22,22.48,11.54
2021-11-10,25.77,22.25,32.03
2021-11-11,30.89,21.75,0.04
2021-11-12,31.67,21.68,0.0
2021-11-13,31.8,22.84,0.98
2021-11-14,31.84,22.61,4.65
2021-11-15,28.66,23.01,4.43
2021-11-16,31.15,21.95,3.29
2021-11-17,32.16,22.15,0.9
2021-11-18,32.5,23.27,0.11
2021-11-19,32.54,23.71,0.67
2021-11-20,32.13,23.16,4.22
2021-11-21,33.1,23.2,3.75
2021-11-22,33.3,23.03,0.61
2021-11-23,33.4,22.98,2.84
2021-11-24,32.95,24.14,0.44
2021-11-25,32.65,23.62,0.69
2021-11-26,28.79,24.08,5.77
2021-11-27,28.18,23.35,7.16
2021-11-28,32.43,23.04,2.39
2021-11-29,28.09,23.52,10.87
2021-11-30,29.91,22.73,1.79
2021-12-01,31.96,22.61,0.1
2021-12-02,32.62,23.3,11.91
2021-12-03,28.19,23.21,3.32
2021-12-04,29.74,21.96,4.81
2021-12-05,30.47,21.41,10.61
2021-12-06,31.64,22.57,1.02
2021-12-07,31.05,23.07,16.23
2021-12-08,29.82,23.78,4.43
2021-12-09,27.57,23.08,5.24
2021-12-10,28.38,23.65,27.3
2021-12-11,28.29,23.27,13.95
2021-12-12,29.89,23.55,3.3
2021-12-13,31.51,23.31,0.44
2021-12-14,31.56,23.42,0.15
2021-12-15,30.8,23.94,0.36
2021-12-16,30.4,24.03,0.08
2021-12-17,28.78,23.46,1.24
2021-12-18,30.5,23.18,10.63
2021-12-19,28.32,23.88,7.03
2021-12-20,28.13,23.47,10.83
2021-12-21,29.54,22.71,3.75
2021-12-22,31.26,21.79,0.2
2021-12-23,28.88,23.25,7.61
2021-12-24,26.2,22.2,30.2
2021-12-25,27.7,21.55,19.18
2021-12-26,27.25,21.81,12.52
2021-12-27,28.11,21.46,6.22
2021-12-28,29.4,21.78,7.14
2021-12-29,28.83,20.9,3.57
2021-12-30,30.16,21.48,21.26
2021-12-31,25.67,21.91,41.28
