;tmin;tmax;precip;rh;vento;rad
2022-11-15;23.5;33.0;7.6000000000000005;73.70833333333333;0.004166666666666667;14894.1
2022-11-16;23.3;33.8;0.0;74.45833333333333;0.0;20875.9
2022-11-17;23.3;34.4;0.0;68.45833333333333;0.004166666666666667;23051.1
2022-11-18;23.7;29.1;0.0;72.79166666666667;0.0;9433.8
2022-11-19;21.4;32.0;37.0;74.25;0.0;13657.7
2022-11-20;22.1;33.4;29.6;76.58333333333333;0.0;20231.7
2022-11-21;22.3;34.1;9.6;72.29166666666667;0.004166666666666667;23840.8
2022-11-22;22.4;33.7;0.0;69.29166666666667;0.0;21746.8
2022-11-23;22.9;34.1;0.0;69.08333333333333;0.0;21629.4
2022-11-24;24.8;33.1;0.0;69.5;0.0;19331.7
2022-11-25;21.7;30.0;58.8;83.83333333333333;0.03333333333333333;10067.4
2022-11-26;23.2;31.2;1.0;81.0;0.0;13770.5
2022-11-27;22.1;32.7;6.6000000000000005;74.83333333333333;0.024999999999999998;21492.8
2022-11-28;21.6;30.0;86.0;82.08333333333333;0.008333333333333333;9989.2
2022-11-29;21.9;29.2;12.6;83.41666666666667;0.0;8748.1
2022-11-30;21.5;30.8;0.8;80.625;0.0;14564.5
2022-12-01;23.3;31.7;8.4;79.91666666666667;0.004166666666666667;14169.6
2022-12-02;23.8;31.2;1.2;83.25;0.0;12174.9
2022-12-03;23.0;30.0;6.6000000000000005;84.375;0.0375;11006.5
2022-12-04;22.7;29.4;0.2;82.16666666666667;0.0;15398.3
2022-12-05;23.4;29.8;2.4;81.83333333333333;0.0;11333.199999999999
2022-12-06;20.8;32.7;0.0;78.91666666666667;0.0;16844.3
2022-12-07;22.1;34.5;0.0;71.33333333333333;0.0;22929.6
2022-12-08;22.0;33.9;0.0;69.45833333333333;0.0;23528.4
2022-12-09;23.1;32.5;10.6;73.75;0.0;12595.4
2022-12-10;22.3;33.9;2.0;73.875;0.004166666666666667;21420.899999999998
2022-12-11;23.1;33.4;0.0;75.16666666666667;0.008333333333333333;17297.2
2022-12-12;23.5;33.2;1.2;75.75;0.004166666666666667;17231.7
2022-12-13;22.3;33.9;0.0;72.08333333333333;0.0;22295.2
2022-12-14;22.7;33.5;0.0;67.125;0.0;20157.3
2022-12-15;23.7;33.6;0.0;73.16666666666667;0.0;17545.1
2022-12-16;24.1;33.8;0.6;71.125;0.0;19493.4
2022-12-17;24.4;28.1;1.8;76.58333333333333;0.004166666666666667;10870.3
2022-12-18;23.1;34.5;0.0;74.16666666666667;0.0;19858.0
2022-12-19;23.7;33.7;0.4;71.91666666666667;0.0;17948.600000000002
2022-12-20;24.0;33.5;0.0;69.41666666666667;0.0;18926.2
2022-12-21;22.7;32.5;2.0;72.625;0.004166666666666667;15632.2
