ID_Modelo,Raio,Num_Regras,R2_Score
126,0.18580084890833753,45,0.5839806751536223
127,0.12933933852718996,74,0.6061146770166976
128,0.18543111023507278,45,0.5839806751536223
129,0.020662624394967723,210,0.7690484734821758
130,0.11140169154016681,85,0.6201452160409909
131,0.1943147120559042,44,0.5858617559417173
132,0.1621267015467208,60,0.5893867407099698
133,0.15420820083757167,63,0.5846539347292052
134,0.19965353277432693,43,0.6011054702382818
135,0.06118329928845207,146,0.7249107312346457
136,0.07608000026463949,125,0.7412276264807725
137,0.0467798412490318,166,0.7680371109009416
138,0.0391712750505766,181,0.7777935117447269
139,0.09889592430822539,97,0.6827935899922108
140,0.01097440328774597,227,0.7716876253652725
141,0.0792012237292071,122,0.7371772991753165
142,0.0730270676338589,128,0.7275134464908862
143,0.134422568003096,72,0.6089911610180376
144,0.1726875100761421,51,0.5939943556879222
145,0.1863776797481599,45,0.5839806751536223
146,0.14101851725657516,69,0.6073748767459017
147,0.0636307805353553,140,0.7274291755995668
148,0.012968059963696528,226,0.7740392613813057
149,0.14151698452519929,69,0.6073748767459017
150,0.10700839393782033,88,0.6157810275275662
151,0.19936284117263253,43,0.6011054702382818
152,0.0223886164059547,202,0.769930515856869
153,0.08059546964277169,119,0.7370156367710627
154,0.06180960659584788,145,0.7260466945594731
155,0.19223085552307215,44,0.5858617559417173
156,0.1375861628309623,69,0.6073748767459017
157,0.10736262041765718,88,0.6157810275275662
158,0.02595813630475815,196,0.771230413878377
159,0.18528810245006963,45,0.5839806751536223
160,0.03781348812802413,184,0.778398074578781
161,0.18815984223830776,45,0.5839806751536223
162,0.13444517727801597,72,0.6089911610180376
163,0.1731568551405994,51,0.5939943556879222
164,0.13913998942837785,69,0.6073748767459017
165,0.1438424753506658,66,0.5562947430146262
166,0.04828762005373973,162,0.7693535110971288
167,0.08363623665360864,115,0.7160724396606295
168,0.05746410027595797,154,0.7369122534050676
169,0.10413788857718889,89,0.6138646679114375
170,0.14315942343298915,67,0.5619918841987793
171,0.0801591615812706,120,0.7364818681150365
172,0.056398837952496415,154,0.7579384972155103
173,0.12065797206906209,76,0.6005727583442244
174,0.142115665546522,69,0.6073748767459017
175,0.04984369013540159,160,0.762309096337016
176,0.021116158474365144,210,0.7690484734821758
177,0.16808336982267777,54,0.5886254711279151
178,0.08030983115775131,120,0.7364818681150365
179,0.1452600749803498,64,0.5519008178747884
180,0.1362547926904384,71,0.613580332955263
181,0.10069163088613231,95,0.6388652583365005
182,0.15446414432807148,63,0.5846539347292052
183,0.14590034362012122,64,0.5519695781677193
184,0.042394385768371824,174,0.7926295448655306
185,0.1672223204580561,54,0.5886254711279151
186,0.024298706694741427,200,0.7738756369121131
187,0.18550701170285538,45,0.5839806751536223
188,0.08379038802533963,115,0.7160724396606295
189,0.07731158510616454,124,0.7416638481112668
190,0.11443768677822579,82,0.6229727628219854
191,0.013934164864350602,225,0.7747481063511431
192,0.02654878318224227,195,0.7630579580539341
193,0.14587547717484173,64,0.5519695781677193
194,0.08359652552923545,115,0.7160724396606295
195,0.09893121710931087,97,0.6827935899922108
196,0.1601550020071337,60,0.5891828626394413
197,0.11284974345083527,85,0.6201452160409909
198,0.0865515208727192,112,0.6903502885654857
199,0.16400697628977767,59,0.5783518933197426
200,0.036863384171201864,184,0.778398074578781
201,0.016536079093712318,214,0.7737841225268774
202,0.15428197410854366,63,0.5846539347292052
203,0.15003066544873706,62,0.5549040031108727
204,0.15322759543351339,63,0.5662620226993776
205,0.04274089320113294,171,0.7960319913544244
206,0.17282646494858625,51,0.5939943556879222
207,0.12283084446363768,76,0.6005727583442244
208,0.17158644173902232,52,0.5926096709854437
209,0.18924659828038348,44,0.5857810677281452
210,0.07075455459989675,130,0.726702372639707
211,0.06630526142097888,136,0.7380810911753903
