tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap
-0.38981745986744826,0.4934991461584711,-0.4321731798298409,-0.38209045767716143
-0.46982408613772386,0.6730953893455336,-0.4321731798298409,-0.3440865564813167
-0.4595800949496646,0.5150012649852357,-0.8213342680730977,-0.306082655285472
-0.3880112755543836,0.6168348755613,-0.8213342680730977,-0.26807875408962734
-0.5023669918348441,1.1133114815476024,-0.8213342680730977,-0.23007485289378263
-0.7797830546685646,1.2492122731603914,-1.0548309210190518,-0.19207095169793792
-0.6513282918483037,1.2560828393133674,-0.9334126614871555,-0.15406705050209324
-0.6390370863971232,0.9197999492387983,-0.9334126614871555,-0.11606314930624853
-0.5666830523129835,0.7508937309261166,-0.7061425859530945,-0.07805924811040382
-0.4957010620151829,0.7114193866600756,-0.7061425859530945,-0.04005534691455913
-0.5886048730688556,1.2381917013716128,-0.7061425859530945,-0.002051445718714428
-0.8637905635144263,1.4656618440934823,-1.0859638080785128,0.035952455477130274
-0.8047060134534121,1.591181056234528,-1.0859638080785128,0.07395635667297497
-0.8136953084226521,1.4844524496143756,-1.0859638080785128,0.11196025786881968
-0.7889363547770232,1.2224205522963427,-0.6438768118341726,0.14996415906466437
-0.5023669918348433,0.8215019152837271,-0.6438768118341726,0.18796806026050908
-0.3832932275266543,-0.2168546568979588,-0.6438768118341726,0.22597196145635376
-0.25349819534852586,-0.27049365317284113,-0.6625565440698495,0.26397586265219847
-0.13317049002029974,-0.22987779109152928,-0.8618070212503972,0.30197976384804315
-0.08746824312745433,0.18464936488019598,-0.8618070212503972,0.3399836650438879
-0.11141435465004024,0.28731348234164245,-0.9583189711347245,0.37798756623973256
-0.031035298917681142,0.09846481641080265,-0.5473648619498452,0.41599146743557724
0.12418860820416978,-0.4373453020283374,-0.5473648619498452,0.453995368631422
0.29674367520943196,0.7445363614053867,-0.5473648619498452,0.49199926982726666
-0.18325217251536305,0.8955484225606019,-0.7870880923076913,0.5300031710231113
-0.17420867721090363,0.8897539056591433,-0.7870880923076913,0.5680070722189561
-0.046401398717788374,0.12153658427633758,-0.5816110377152517,0.6060109734148008
0.04978025971301031,0.07775415161321314,-0.5816110377152517,0.6440148746106454
0.06669808736822876,0.6292162742020199,-0.5816110377152517,0.6820187758064902
-0.10538167596587987,1.132209378149827,-0.7808615148957994,0.7200226770023349
