date,dap,tensao_solo_kpa,delta_tensao_kpa,chuva_acum_3d_mm,tmax_max_3d_c,IrrDay,Wr,z_root,classe_aquacrop4,classe_aquacrop3,classe_ensemble,consenso_pct,votos_ensemble
2022-08-10,71.0,14.533133805916796,-20.49855305024228,0.08000000000000045,34.23,0.0,215.1,1.000000000000001,0,0,0,100.0,{0: 14}
2022-08-11,72.0,16.316451175010243,1.7833173690934476,0.040000000000000445,34.7,0.0,209.76999999999998,1.000000000000001,0,0,0,92.9,"{0: 13, 1: 1}"
2022-08-12,73.0,18.442953248685907,2.1265020736756632,0.28000000000000047,34.7,0.0,205.62,1.000000000000001,0,0,0,78.6,"{0: 11, 1: 3}"
2022-08-13,74.0,20.332974432981988,1.8900211842960815,2.66,34.7,0.0,203.79,1.000000000000001,0,0,0,71.4,"{0: 10, 1: 4}"
2022-08-14,75.0,21.24012899832265,0.9071545653406616,2.73,34.65,0.0,198.97,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 7}"
2022-08-15,76.0,23.873277854835823,2.6331488565131735,2.45,33.82,0.0,193.76,1.000000000000001,0,0,1,64.3,"{0: 5, 1: 9}"
2022-08-16,77.0,27.175366833187972,3.302088978352149,0.07000000000000045,34.53,0.0,188.63,1.000000000000001,0,0,1,64.3,"{0: 4, 1: 9, 2: 1}"
2022-08-17,78.0,30.979396316265138,3.8040294830771657,0.0,34.84,37.163110681675974,219.76,1.000000000000001,3,2,1,64.3,"{0: 2, 1: 9, 2: 3}"
2022-08-18,79.0,14.695292787395417,-16.28410352886972,0.5800000000000004,34.84,0.0,215.2,1.000000000000001,0,0,0,100.0,{0: 14}
2022-08-19,80.0,16.27946546792834,1.584172680532923,0.6700000000000004,35.01,0.0,209.64,1.000000000000001,0,0,0,92.9,"{0: 13, 1: 1}"
2022-08-20,81.0,18.498860058971015,2.2193945910426756,0.6700000000000004,35.09,0.0,204.39,1.000000000000001,0,0,0,92.9,"{0: 13, 1: 1}"
2022-08-21,82.0,20.937426474150357,2.4385664151793414,0.09000000000000044,35.09,0.0,198.8,1.000000000000001,0,0,0,78.6,"{0: 11, 1: 3}"
2022-08-22,83.0,23.973118591912517,3.03569211776216,0.0,35.09,0.0,193.61,1.000000000000001,0,0,0,64.3,"{0: 9, 2: 1, 1: 4}"
2022-08-23,84.0,27.278318720099254,3.305200128186737,0.0,34.51,0.0,188.31,1.000000000000001,0,0,1,64.3,"{0: 4, 1: 9, 2: 1}"
2022-08-24,85.0,31.237280335634928,3.9589616155356744,0.0,34.79,37.670617580717305,220.69,1.000000000000001,3,2,1,57.1,"{0: 3, 1: 8, 2: 3}"
2022-08-25,86.0,14.39539870870853,-16.841881626926398,0.0,35.19,0.0,215.67,1.000000000000001,0,0,0,100.0,{0: 14}
2022-08-26,87.0,16.106979726162272,1.7115810174537422,0.0,35.2,0.0,209.78000000000003,1.000000000000001,0,0,0,92.9,"{0: 13, 1: 1}"
2022-08-27,88.0,18.438661162365225,2.3316814362029525,0.0,35.35,0.0,203.51,1.000000000000001,0,0,0,100.0,{0: 14}
2022-08-28,89.0,21.383193408874032,2.944532246508807,0.0,35.99,0.0,197.39,1.000000000000001,0,0,0,92.9,"{0: 13, 1: 1}"
2022-08-29,90.0,24.820897378957135,3.4377039700831027,0.0,36.78,0.0,190.69,1.000000000000001,0,0,0,64.3,"{0: 9, 2: 3, 1: 2}"
2022-08-30,91.0,29.379300149277974,4.558402770320839,0.0,36.78,0.0,185.37,1.000000000000001,0,0,0,35.7,"{0: 5, 2: 5, 1: 4}"
2022-08-31,92.0,33.7318293949908,4.352529245712823,0.0,36.78,0.0,179.53,1.000000000000001,0,0,2,42.9,"{0: 5, 2: 6, 1: 3}"
