Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	12	2021	25.30	32.40	0.00	4.75
2	12	2021	25.20	32.40	0.00	8.91
3	12	2021	25.80	31.40	0.00	5.87
4	12	2021	25.50	32.20	0.00	1.23
5	12	2021	25.70	32.50	0.00	4.21
6	12	2021	26.10	32.40	0.00	1.92
7	12	2021	26.60	32.80	0.00	7.72
8	12	2021	26.60	33.00	0.00	14.29
9	12	2021	25.10	33.10	0.00	15.45
10	12	2021	26.80	31.70	0.00	16.12
11	12	2021	26.50	32.30	0.00	17.56
12	12	2021	26.40	32.30	0.00	17.22
13	12	2021	26.20	32.20	0.00	17.06
14	12	2021	26.40	31.80	0.00	18.20
15	12	2021	26.60	32.70	0.00	18.81
16	12	2021	25.80	29.00	0.00	10.83
17	12	2021	26.20	31.70	0.00	1.47
18	12	2021	25.90	29.80	0.00	1.54
19	12	2021	26.20	31.10	0.00	1.58
20	12	2021	26.40	31.40	0.00	1.49
21	12	2021	25.80	30.60	0.00	1.57
22	12	2021	26.00	32.10	0.00	1.61
23	12	2021	26.40	32.40	0.00	3.09
24	12	2021	25.20	30.60	0.00	9.66
25	12	2021	26.10	30.50	0.00	14.17
26	12	2021	24.20	27.60	0.00	9.33
27	12	2021	25.40	31.40	0.00	1.35
28	12	2021	26.00	31.30	0.00	1.26
29	12	2021	24.70	31.10	0.00	5.21
30	12	2021	22.90	29.00	0.00	1.67
31	12	2021	24.00	27.60	0.00	1.91
1	1	2022	23.20	25.80	0.00	1.09
2	1	2022	23.50	29.60	0.00	0.88
3	1	2022	24.20	28.20	0.00	0.71
4	1	2022	23.10	29.90	0.00	3.18
5	1	2022	23.80	26.60	0.00	0.49
6	1	2022	23.60	29.80	0.00	1.76
7	1	2022	24.00	31.20	0.00	1.68
8	1	2022	23.90	30.40	0.00	2.72
9	1	2022	23.70	30.50	0.00	2.86
10	1	2022	22.70	28.20	0.00	2.81
11	1	2022	21.30	29.00	0.00	0.71
12	1	2022	23.00	29.50	0.00	0.87
13	1	2022	23.80	30.50	0.00	0.68
14	1	2022	23.70	31.20	0.00	0.88
15	1	2022	22.80	28.80	0.00	0.59
16	1	2022	22.40	29.80	0.00	0.82
17	1	2022	23.90	30.30	0.00	0.62
18	1	2022	24.10	29.60	0.00	0.79
19	1	2022	25.20	30.70	0.00	0.83
20	1	2022	24.60	31.20	0.00	1.11
21	1	2022	24.80	30.80	0.00	0.86
22	1	2022	22.40	29.90	0.00	0.78
23	1	2022	23.60	29.30	0.00	2.43
24	1	2022	24.00	30.40	0.00	0.91
25	1	2022	24.90	30.50	0.00	0.91
26	1	2022	24.60	30.50	0.00	0.87
27	1	2022	22.50	26.30	0.00	0.68
28	1	2022	23.20	26.50	0.00	0.71
29	1	2022	22.50	28.80	0.00	0.64
30	1	2022	22.70	30.60	0.00	0.79
31	1	2022	23.80	31.40	0.00	0.86
1	2	2022	25.10	30.60	0.00	0.91
2	2	2022	25.20	29.90	0.00	1.04
3	2	2022	24.10	29.80	0.00	0.94
4	2	2022	24.80	28.60	0.00	0.61
5	2	2022	23.90	27.10	0.00	0.56
6	2	2022	23.60	29.20	0.00	0.63
7	2	2022	24.10	28.60	0.00	0.63
8	2	2022	23.80	29.70	0.00	0.81
9	2	2022	24.60	29.20	0.00	0.81
10	2	2022	22.70	28.60	0.00	0.68
11	2	2022	24.30	29.40	0.00	0.88
12	2	2022	25.40	30.50	0.00	1.07
13	2	2022	25.40	30.30	0.00	0.91
14	2	2022	22.70	28.80	0.00	0.65
15	2	2022	25.00	29.30	0.00	0.75
16	2	2022	25.00	28.40	0.00	0.99
17	2	2022	23.40	30.00	0.00	0.74
18	2	2022	22.90	29.80	0.00	0.91
19	2	2022	24.30	29.20	0.00	0.71
20	2	2022	23.70	29.50	0.00	0.56
21	2	2022	23.50	31.40	0.00	1.00
22	2	2022	25.00	31.00	0.00	1.11
23	2	2022	25.50	31.30	0.00	1.43
24	2	2022	24.60	31.70	0.00	1.01
25	2	2022	23.40	29.50	0.00	0.74
26	2	2022	24.90	30.60	0.00	1.07
27	2	2022	24.90	30.50	0.00	0.86
28	2	2022	24.40	30.30	0.00	0.57
1	3	2022	23.10	30.10	0.00	0.60
2	3	2022	23.90	29.50	0.00	0.61
3	3	2022	24.00	29.30	0.00	0.52
4	3	2022	21.70	29.70	0.00	0.67
5	3	2022	22.30	27.60	0.00	0.53
6	3	2022	23.60	27.30	0.00	0.46
7	3	2022	23.20	25.40	0.00	0.46
8	3	2022	22.30	30.20	0.00	0.72
9	3	2022	22.90	29.00	0.00	0.75
10	3	2022	23.60	26.70	0.00	0.50
11	3	2022	22.60	27.90	0.00	0.67
12	3	2022	22.50	28.60	0.00	0.73
13	3	2022	23.90	29.30	0.00	0.64
14	3	2022	23.50	28.90	0.00	0.63
15	3	2022	23.20	28.00	0.00	0.58
16	3	2022	22.10	26.80	0.00	0.53
17	3	2022	23.20	29.20	0.00	0.60
18	3	2022	23.10	28.50	0.00	0.53
19	3	2022	22.40	27.70	0.00	0.60
20	3	2022	23.20	27.80	0.00	0.52
21	3	2022	23.50	29.50	0.00	0.67
22	3	2022	23.00	27.20	0.00	0.50
23	3	2022	23.20	27.30	0.00	0.51
24	3	2022	22.80	28.10	0.00	0.58
25	3	2022	23.10	28.80	0.00	0.54
26	3	2022	21.60	28.80	0.00	0.71
27	3	2022	23.50	28.90	0.00	0.65
28	3	2022	23.80	27.30	0.00	0.50
29	3	2022	22.80	28.60	0.00	0.46
30	3	2022	22.00	28.30	0.00	0.54
31	3	2022	22.70	27.90	0.00	0.83
1	4	2022	23.40	28.40	0.00	5.13
2	4	2022	23.30	29.70	0.40	10.74
3	4	2022	23.90	28.00	11.20	2.68
4	4	2022	23.30	26.40	12.20	1.88
5	4	2022	23.00	25.50	16.20	1.53
6	4	2022	22.80	28.30	23.00	2.76
7	4	2022	22.50	29.10	5.80	3.67
8	4	2022	22.70	27.80	6.80	2.10
9	4	2022	22.30	27.80	2.80	2.63
10	4	2022	21.60	27.80	33.80	3.15
11	4	2022	22.60	27.60	2.40	2.80
12	4	2022	23.00	28.70	1.40	4.08
13	4	2022	24.20	29.30	0.00	3.65
14	4	2022	23.40	29.50	0.00	4.10
15	4	2022	23.60	27.60	14.60	2.32
16	4	2022	23.30	28.00	20.00	2.71
17	4	2022	23.00	26.90	6.40	2.07
18	4	2022	22.70	27.80	10.40	2.99
19	4	2022	22.90	28.40	18.00	3.33
20	4	2022	23.40	28.10	30.00	2.61
21	4	2022	23.00	30.40	0.20	4.24
22	4	2022	23.80	29.20	0.60	2.98
23	4	2022	22.20	27.40	14.80	2.35
24	4	2022	22.00	30.40	28.20	4.29
25	4	2022	22.20	29.90	9.80	2.97
26	4	2022	22.70	30.50	0.80	3.30
27	4	2022	23.20	29.40	1.00	2.61
28	4	2022	23.30	30.30	8.00	3.65
29	4	2022	22.90	29.70	0.00	4.02
30	4	2022	22.70	30.00	36.00	3.06
1	5	2022	23.40	29.40	43.60	2.53
2	5	2022	23.40	29.10	3.40	2.73
3	5	2022	23.20	28.20	32.60	2.30
4	5	2022	22.90	29.50	7.20	2.52
5	5	2022	23.00	29.10	20.00	2.82
6	5	2022	22.30	30.00	1.80	3.58
7	5	2022	23.60	30.00	24.80	2.93
8	5	2022	22.70	29.50	10.20	3.95
9	5	2022	22.70	27.10	50.20	2.42
10	5	2022	21.80	27.00	3.40	1.93
11	5	2022	22.50	28.50	11.20	2.95
12	5	2022	23.10	28.70	0.20	3.41
13	5	2022	23.90	28.90	5.80	3.34
14	5	2022	23.90	29.80	3.80	3.00
15	5	2022	24.10	30.10	0.00	3.48
