ID,Raio,Regras_Finais,R2
183,0.18937406371825757,42,0.5836805540394459
184,0.036639449473893936,129,0.7155623208849096
185,0.1910148578338573,42,0.5837653033789649
186,0.11654122081220333,70,0.6229791458491767
187,0.1594570046757616,51,0.6185959636559417
188,0.015656875149449575,151,0.7175727115981985
189,0.16246669149307405,50,0.6127924254956335
190,0.10326205761026504,78,0.6107618902659666
191,0.01420900098677283,155,0.7212961514568218
192,0.054751856949745215,113,0.7290506719607912
193,0.15411606059332117,54,0.6139057961145525
194,0.1625501978992836,50,0.6127924254956335
195,0.05659034042833189,113,0.7117583404602388
196,0.1768639304779784,43,0.5728112065367125
197,0.01864369096199721,148,0.7128827960776011
198,0.12568604335091782,65,0.614813494896141
199,0.060137189931531096,113,0.7110929817508336
200,0.10002621513574295,80,0.6109173974540512
201,0.1215530679642174,66,0.6221248710751519
202,0.13027732340408266,61,0.6245601347301901
203,0.11767744264170246,68,0.622054098419901
204,0.08182807281163657,94,0.6986739247658696
205,0.19579565655574627,42,0.5837653033789649
206,0.12155321909544649,66,0.6221248710751519
207,0.03331487986937615,133,0.6939875464097314
208,0.055266393666395644,113,0.7290506719607912
209,0.09705668911785638,81,0.6585316107411565
210,0.18348493194944304,43,0.5818495319164062
211,0.1156711393784427,70,0.6229791458491767
212,0.19319035537475265,42,0.5837653033789649
213,0.12343544119665037,66,0.6221248710751519
214,0.12352873956285639,66,0.6221248710751519
215,0.15735234677542823,52,0.6166488649423296
216,0.06447675022221554,107,0.7062819200370647
217,0.017998667101841462,148,0.7128827960776011
218,0.18017709650273495,42,0.5697575901029411
219,0.07264376969969878,104,0.6979821574278546
220,0.14567300982822792,55,0.5811017747135226
221,0.07662945318985846,102,0.7170575076764785
222,0.08592254992313236,90,0.7017030636243514
223,0.0684955821755838,104,0.6927479185690839
224,0.13244986767409694,60,0.62586716037214
225,0.10825040559621113,74,0.616304545175068
226,0.19343310657874205,42,0.5837653033789649
227,0.015361404827083546,152,0.7173195579747144
228,0.051018019316400265,116,0.7243205409565598
229,0.07695525309706039,101,0.7127067236979844
230,0.17468729246833042,45,0.5946410539457869
231,0.07603156847404229,102,0.7170575076764785
232,0.028801264954586674,133,0.6933792912782744
233,0.12866139394116943,62,0.623006258591377
234,0.10149779054454716,79,0.612024823701671
235,0.16390254159554787,50,0.6127924254956335
236,0.09451404056809352,83,0.6561798292026455
237,0.09135359688593052,87,0.6630527188639405
