Date,Tensao_Media_Atual_kPa,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm
2022-04-08,33.045508835652015,16.8,32.8,0.0
2022-04-09,33.15062563651888,9.0,34.1,0.0
2022-04-10,33.164249739907184,12.2,34.1,0.0
2022-04-11,33.16601291793938,9.2,34.1,0.0
2022-04-12,33.16624105749456,9.2,33.7,0.0
2022-04-13,33.16627057598684,0.0,33.7,0.0
2022-04-14,33.16627439530953,28.2,33.7,0.0
2022-04-15,33.1662748894817,28.599999999999998,33.2,0.0
2022-04-16,33.166274953421386,31.0,32.3,0.0
2022-04-17,33.16627496169436,4.0,32.3,0.0
2022-04-18,33.16627496276481,3.5999999999999996,33.9,0.0
2022-04-19,29.338011219579027,1.7999999999999998,33.9,0.0
2022-04-20,32.53604177188137,10.799999999999999,33.9,0.0
2022-04-21,33.08232204734995,10.799999999999999,32.7,0.0
