tensao_solo_kpa,chuva_bool,tmax_max_3d_c,dap,classe_irrigacao
183.8790045589735,0,34.2,36,1
164.8502090605453,0,34.2,37,1
156.13480206935802,0,34.5,38,1
147.88076689342873,0,34.5,39,1
138.75652624236525,0,34.5,40,1
130.79301435963274,0,34.4,41,1
123.97525179574491,0,34.5,42,1
118.0818141444003,0,34.5,43,1
112.68066288964633,0,34.5,44,1
107.51459205623327,0,34.3,45,1
102.46181055299641,0,34.3,46,1
97.55933875777257,0,34.3,47,2
92.86152864793537,0,34.7,48,1
88.40997818361024,0,35.1,49,2
88.40997818361024,0,35.1,50,2
88.40997818361024,0,35.1,51,2
88.40997818361024,0,35.1,52,1
88.40997818361024,0,35.6,53,2
88.40997818361024,0,35.6,54,2
88.40997818361024,0,35.6,55,2
88.40997818361024,0,35.4,56,2
88.40997818361024,0,35.4,57,2
88.40997818361024,0,35.4,58,1
88.40997818361024,0,35.0,59,1
88.40997818361024,0,35.0,60,1
88.40997818361024,0,32.5,61,1
88.40997818361024,1,32.5,62,0
53.07353192897842,0,33.2,63,0
58.519813547829436,0,34.1,64,0
64.83225924668677,0,34.1,65,0
72.260623095518,0,34.1,66,0
80.8660121758556,0,34.1,67,1
88.40997818361024,0,34.1,68,1
88.40997818361024,0,34.1,69,1
88.40997818361024,0,34.0,70,1
88.40997818361024,0,33.9,71,1
88.40997818361024,0,33.9,72,1
88.40997818361024,0,33.9,73,1
88.40997818361024,0,34.4,74,1
88.40997818361024,0,34.4,75,1
88.40997818361024,0,34.5,76,1
88.40997818361024,0,35.3,77,2
88.40997818361024,0,36.0,78,1
88.40997818361024,0,36.0,79,2
88.40997818361024,0,36.0,80,2
88.40997818361024,0,34.8,81,2
88.40997818361024,0,36.1,82,2
88.40997818361024,0,36.1,83,2
88.40997818361024,0,36.1,84,2
88.40997818361024,0,36.0,85,2
88.40997818361024,0,36.1,86,2
88.40997818361024,0,36.1,87,1
88.40997818361024,0,36.1,88,2
88.40997818361024,0,35.2,89,1
88.40997818361024,0,34.7,90,1
88.40997818361024,0,35.0,91,1
88.40997818361024,0,35.4,92,1
88.40997818361024,0,36.0,93,1
88.40997818361024,0,36.7,94,1
88.40997818361024,0,36.7,95,2
88.40997818361024,0,36.7,96,2
88.40997818361024,0,36.6,97,2
88.40997818361024,0,36.6,98,1
88.40997818361024,0,36.6,99,1
88.40997818361024,0,35.9,100,1
88.40997818361024,0,36.5,101,1
88.40997818361024,0,37.0,102,1
88.40997818361024,0,37.0,103,1
836.0752309190951,0,35.0,14,0
719.9037614347998,0,33.9,15,0
679.9351631868464,1,33.0,16,0
496.99885216023495,0,33.0,17,0
455.0352224939416,0,33.4,18,0
435.49733162172356,0,33.4,19,0
418.341165064507,0,33.4,20,0
400.6775882382649,0,33.4,21,0
358.76707636257174,0,34.1,22,0
349.5916860022425,0,34.2,23,0
341.53849110859227,0,34.5,24,0
335.58607633557693,0,34.5,25,1
308.2698725235099,0,34.5,26,1
278.54626424038906,0,34.6,27,1
262.82294943318465,0,34.7,28,1
244.66562379872454,0,34.7,29,1
228.96208204196972,0,34.7,30,1
215.6284503780178,0,34.7,31,1
204.1875436684362,0,34.7,32,1
193.77372537764595,0,34.7,33,1
183.8790045589735,0,34.5,34,1
164.8502090605453,0,34.5,35,1
156.13480206935802,0,34.5,36,1
147.88076689342873,0,34.5,37,1
138.75652624236525,0,34.3,38,1
130.79301435963274,0,34.3,39,1
123.97525179574491,0,34.3,40,1
118.0818141444003,0,34.3,41,1
112.68066288964633,0,34.3,42,1
107.51459205623327,0,34.4,43,1
102.46181055299641,0,34.4,44,1
97.55933875777257,0,34.4,45,2
92.86152864793537,0,34.4,46,1
88.40997818361024,0,35.6,47,2
88.40997818361024,0,35.9,48,1
88.40997818361024,0,35.9,49,2
88.40997818361024,0,35.9,50,2
88.40997818361024,0,36.0,51,2
88.40997818361024,0,36.4,52,1
88.40997818361024,0,36.4,53,2
88.40997818361024,0,36.4,54,2
88.40997818361024,0,35.6,55,1
88.40997818361024,0,35.6,56,2
88.40997818361024,0,36.3,57,2
88.40997818361024,0,36.3,58,2
88.40997818361024,0,36.6,59,2
88.40997818361024,0,36.6,60,2
88.40997818361024,0,36.6,61,2
88.40997818361024,0,36.0,62,2
88.40997818361024,0,36.0,63,1
88.40997818361024,0,36.0,64,2
88.40997818361024,0,35.7,65,2
88.40997818361024,0,35.7,66,2
88.40997818361024,0,35.7,67,2
88.40997818361024,0,35.3,68,2
88.40997818361024,0,35.3,69,2
88.40997818361024,0,35.3,70,2
88.40997818361024,0,35.3,71,2
88.40997818361024,0,35.3,72,2
88.40997818361024,0,35.5,73,2
88.40997818361024,0,35.5,74,2
88.40997818361024,0,35.5,75,2
88.40997818361024,0,35.5,76,2
88.40997818361024,0,35.5,77,2
88.40997818361024,0,35.4,78,2
88.40997818361024,0,35.4,79,2
88.40997818361024,0,37.2,80,2
88.40997818361024,0,37.2,81,2
88.40997818361024,0,37.2,82,2
88.40997818361024,0,36.1,83,2
88.40997818361024,0,36.1,84,2
88.40997818361024,0,36.1,85,2
88.40997818361024,0,36.1,86,2
88.40997818361024,0,36.1,87,2
88.40997818361024,0,35.5,88,2
88.40997818361024,0,36.0,89,2
88.40997818361024,0,36.8,90,2
88.40997818361024,0,36.8,91,2
88.40997818361024,0,36.8,92,2
88.40997818361024,0,36.8,93,2
88.40997818361024,0,37.0,94,2
88.40997818361024,0,37.0,95,2
88.40997818361024,0,37.0,96,2
88.40997818361024,0,37.5,97,2
88.40997818361024,0,37.9,98,2
88.40997818361024,0,37.9,99,2
88.40997818361024,0,37.9,100,2
88.40997818361024,0,38.9,101,2
869.7732016626828,0,34.9,14,0
815.8548491765187,0,35.7,15,0
703.0108812999961,0,35.7,16,0
666.5813890467548,0,35.7,17,0
634.9357901401719,0,35.1,18,0
556.1003573516502,0,34.7,19,0
532.8909685691208,0,34.9,20,1
