tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,delta_tensao_kpa,classe_irrigacao,IrrDay,year,janela,cenario,grupo_id
17.260851862200404,6.519999999999985,29.28,50.0,0.9936512460428055,0,0.0,2001,chuva,excesso,1
16.879716373799653,9.839999999999986,29.28,51.0,-0.3811354884007514,0,0.0,2001,chuva,excesso,1
17.027098600362738,17.439999999999987,30.01,52.0,0.14738222656308508,0,0.0,2001,chuva,excesso,1
14.916017454302,31.459999999999987,30.01,53.0,-2.1110811460607373,0,0.0,2001,chuva,excesso,1
11.148757282107173,46.58999999999999,30.01,54.0,-3.7672601721948276,0,0.0,2001,chuva,excesso,1
10.323913762422597,50.55999999999999,29.78,55.0,-0.8248435196845758,0,0.0,2001,chuva,excesso,1
11.25469256300347,61.22999999999999,29.78,56.0,0.9307788005808728,0,0.0,2001,chuva,excesso,1
8.853957630708859,45.71999999999998,29.78,57.0,-2.400734932294611,0,0.0,2001,chuva,excesso,1
13.850823386569521,38.039999999999985,29.73,58.0,4.996865755860663,0,0.0,2001,chuva,excesso,1
13.820461348775586,10.229999999999986,29.97,59.0,-0.030362037793935315,0,0.0,2001,chuva,excesso,1
15.843420716436432,8.789999999999985,30.71,60.0,2.022959367660846,0,0.0,2001,chuva,excesso,1
16.99983310391784,10.669999999999986,30.71,61.0,1.1564123874814083,0,0.0,2001,chuva,excesso,1
15.466432881083039,16.659999999999986,31.05,62.0,-1.5334002228348016,0,0.0,2001,chuva,excesso,1
14.856328175238685,17.679999999999986,31.05,63.0,-0.6101047058443534,0,0.0,2001,chuva,excesso,1
15.335156126845396,12.049999999999986,31.05,64.0,0.47882795160671066,0,0.0,2001,chuva,excesso,1
15.951098987310028,18.969999999999985,30.33,65.0,0.6159428604646315,0,0.0,2001,chuva,excesso,1
12.859257593937178,36.91999999999999,30.33,66.0,-3.0918413933728495,0,0.0,2001,chuva,excesso,1
10.127756766531254,64.27999999999999,28.5,67.0,-2.731500827405924,0,0.0,2001,chuva,excesso,1
8.55859453639215,72.03999999999999,29.39,68.0,-1.5691622301391046,0,0.0,2001,chuva,excesso,1
9.772673772100857,62.23999999999999,29.39,69.0,1.2140792357087076,0,0.0,2001,chuva,excesso,1
11.720537321456865,34.60999999999999,30.29,70.0,1.9478635493560077,0,0.0,2001,chuva,excesso,1
14.643165829685096,23.069999999999986,30.29,71.0,2.9226285082282306,0,0.0,2001,chuva,excesso,1
13.284522654908073,23.849999999999987,30.29,72.0,-1.358643174777022,0,0.0,2001,chuva,excesso,1
11.987673583333356,22.889999999999986,29.91,73.0,-1.2968490715747176,0,0.0,2001,chuva,excesso,1
